instance_id,n,density_target,seed,i,j,w
n8_d25_s17,8,0.25,17,4,6,7
n8_d25_s17,8,0.25,17,1,7,1
n8_d25_s17,8,0.25,17,4,7,7
n8_d25_s17,8,0.25,17,4,5,7
n8_d25_s17,8,0.25,17,3,4,7
n8_d25_s17,8,0.25,17,1,2,9
n8_d25_s17,8,0.25,17,0,2,2
n8_d25_s42,8,0.25,42,2,3,8
n8_d25_s42,8,0.25,42,1,5,5
n8_d25_s42,8,0.25,42,0,5,4
n8_d25_s42,8,0.25,42,3,6,7
n8_d25_s42,8,0.25,42,0,1,6
n8_d25_s42,8,0.25,42,3,4,5
n8_d25_s42,8,0.25,42,4,6,3
n8_d50_s17,8,0.5,17,0,6,6
n8_d50_s17,8,0.5,17,4,5,8
n8_d50_s17,8,0.5,17,1,2,9
n8_d50_s17,8,0.5,17,0,7,6
n8_d50_s17,8,0.5,17,2,4,9
n8_d50_s17,8,0.5,17,3,7,5
n8_d50_s17,8,0.5,17,3,4,2
n8_d50_s17,8,0.5,17,1,4,6
n8_d50_s17,8,0.5,17,1,6,6
n8_d50_s17,8,0.5,17,2,3,8
n8_d50_s17,8,0.5,17,6,7,1
n8_d50_s17,8,0.5,17,0,3,2
n8_d50_s17,8,0.5,17,0,1,5
n8_d50_s17,8,0.5,17,1,3,3
n8_d50_s42,8,0.5,42,0,7,9
n8_d50_s42,8,0.5,42,6,7,4
n8_d50_s42,8,0.5,42,1,5,2
n8_d50_s42,8,0.5,42,0,1,3
n8_d50_s42,8,0.5,42,0,2,5
n8_d50_s42,8,0.5,42,1,3,9
n8_d50_s42,8,0.5,42,5,6,9
n8_d50_s42,8,0.5,42,0,3,3
n8_d50_s42,8,0.5,42,2,6,6
n8_d50_s42,8,0.5,42,2,7,9
n8_d50_s42,8,0.5,42,3,6,7
n8_d50_s42,8,0.5,42,0,6,5
n8_d50_s42,8,0.5,42,1,6,5
n8_d50_s42,8,0.5,42,5,7,1
n8_d75_s17,8,0.75,17,2,6,2
n8_d75_s17,8,0.75,17,0,5,6
n8_d75_s17,8,0.75,17,1,2,9
n8_d75_s17,8,0.75,17,4,5,7
n8_d75_s17,8,0.75,17,0,7,6
n8_d75_s17,8,0.75,17,0,2,2
n8_d75_s17,8,0.75,17,6,7,8
n8_d75_s17,8,0.75,17,3,4,1
n8_d75_s17,8,0.75,17,0,3,7
n8_d75_s17,8,0.75,17,5,7,1
n8_d75_s17,8,0.75,17,2,4,4
n8_d75_s17,8,0.75,17,0,4,2
n8_d75_s17,8,0.75,17,0,1,9
n8_d75_s17,8,0.75,17,1,5,7
n8_d75_s17,8,0.75,17,2,7,8
n8_d75_s17,8,0.75,17,1,7,8
n8_d75_s17,8,0.75,17,2,5,9
