instance_id,n,density_target,seed,method,runs,eval_budget_per_run,median_objective_evaluations,best_ratio,median_best_ratio,q1_best_ratio,q3_best_ratio,optimum_hit_fraction,evidence_label,target_q090_hit_fraction,target_q095_hit_fraction,target_q100_hit_fraction,oper_l025_hit_fraction,oper_l040_hit_fraction,oper_l055_hit_fraction,curve_budget,state_count,budget_over_state_count
n8_d25_s17,8,0.25,17,simulated_annealing,64,64,64.0,1.0,1.0,0.975,1.0,0.5625,fixed-objective-evaluation-budget classical heuristic; not a quantum-resource match,1.0,1.0,0.5625,1.0,1.0,1.0,64,256,0.25
n8_d25_s17,8,0.25,17,tabu_search,64,64,57.0,1.0,1.0,1.0,1.0,0.84375,fixed-objective-evaluation-budget classical heuristic; not a quantum-resource match,1.0,1.0,0.84375,1.0,1.0,1.0,64,256,0.25
n8_d25_s42,8,0.25,42,simulated_annealing,64,64,64.0,1.0,1.0,1.0,1.0,1.0,fixed-objective-evaluation-budget classical heuristic; not a quantum-resource match,1.0,1.0,1.0,1.0,1.0,1.0,64,256,0.25
n8_d25_s42,8,0.25,42,tabu_search,64,64,57.0,1.0,1.0,1.0,1.0,1.0,fixed-objective-evaluation-budget classical heuristic; not a quantum-resource match,1.0,1.0,1.0,1.0,1.0,1.0,64,256,0.25
n8_d50_s17,8,0.5,17,simulated_annealing,64,64,64.0,1.0,1.0,0.9736842105263157,1.0,0.640625,fixed-objective-evaluation-budget classical heuristic; not a quantum-resource match,1.0,0.75,0.640625,1.0,0.9375,0.0,64,256,0.25
n8_d50_s17,8,0.5,17,tabu_search,64,64,57.0,1.0,1.0,1.0,1.0,0.890625,fixed-objective-evaluation-budget classical heuristic; not a quantum-resource match,1.0,1.0,0.890625,1.0,1.0,0.0,64,256,0.25
n8_d50_s42,8,0.5,42,simulated_annealing,64,64,64.0,1.0,0.9333333333333333,0.9,1.0,0.4375,fixed-objective-evaluation-budget classical heuristic; not a quantum-resource match,0.921875,0.4375,0.4375,1.0,0.921875,0.4375,64,256,0.25
n8_d50_s42,8,0.5,42,tabu_search,64,64,57.0,1.0,1.0,1.0,1.0,0.8125,fixed-objective-evaluation-budget classical heuristic; not a quantum-resource match,1.0,0.8125,0.8125,1.0,1.0,0.8125,64,256,0.25
n8_d75_s17,8,0.75,17,simulated_annealing,64,64,64.0,1.0,1.0,1.0,1.0,0.765625,fixed-objective-evaluation-budget classical heuristic; not a quantum-resource match,0.828125,0.828125,0.765625,1.0,1.0,0.828125,64,256,0.25
n8_d75_s17,8,0.75,17,tabu_search,64,64,57.0,1.0,1.0,1.0,1.0,0.96875,fixed-objective-evaluation-budget classical heuristic; not a quantum-resource match,0.96875,0.96875,0.96875,1.0,1.0,0.96875,64,256,0.25
n8_d75_s42,8,0.75,42,simulated_annealing,64,64,64.0,1.0,1.0,1.0,1.0,1.0,fixed-objective-evaluation-budget classical heuristic; not a quantum-resource match,1.0,1.0,1.0,1.0,1.0,1.0,64,256,0.25
n8_d75_s42,8,0.75,42,tabu_search,64,64,57.0,1.0,1.0,1.0,1.0,1.0,fixed-objective-evaluation-budget classical heuristic; not a quantum-resource match,1.0,1.0,1.0,1.0,1.0,1.0,64,256,0.25
n10_d25_s17,10,0.25,17,simulated_annealing,64,64,64.0,1.0,1.0,1.0,1.0,0.78125,fixed-objective-evaluation-budget classical heuristic; not a quantum-resource match,0.828125,0.828125,0.78125,1.0,1.0,0.96875,64,1024,0.0625
n10_d25_s17,10,0.25,17,tabu_search,64,64,61.0,1.0,1.0,1.0,1.0,0.953125,fixed-objective-evaluation-budget classical heuristic; not a quantum-resource match,0.953125,0.953125,0.953125,1.0,1.0,1.0,64,1024,0.0625
n10_d25_s42,10,0.25,42,simulated_annealing,64,64,64.0,1.0,1.0,0.92,1.0,0.546875,fixed-objective-evaluation-budget classical heuristic; not a quantum-resource match,0.90625,0.5625,0.546875,1.0,1.0,0.96875,64,1024,0.0625
n10_d25_s42,10,0.25,42,tabu_search,64,64,61.0,1.0,1.0,1.0,1.0,0.921875,fixed-objective-evaluation-budget classical heuristic; not a quantum-resource match,1.0,0.921875,0.921875,1.0,1.0,1.0,64,1024,0.0625
n10_d50_s17,10,0.5,17,simulated_annealing,64,64,64.0,1.0,1.0,0.9107142857142857,1.0,0.578125,fixed-objective-evaluation-budget classical heuristic; not a quantum-resource match,0.765625,0.671875,0.578125,1.0,0.765625,0.578125,64,1024,0.0625
n10_d50_s17,10,0.5,17,tabu_search,64,64,61.0,1.0,1.0,1.0,1.0,0.90625,fixed-objective-evaluation-budget classical heuristic; not a quantum-resource match,0.90625,0.90625,0.90625,1.0,0.90625,0.90625,64,1024,0.0625
n10_d50_s42,10,0.5,42,simulated_annealing,64,64,64.0,1.0,1.0,0.8804347826086957,1.0,0.5625,fixed-objective-evaluation-budget classical heuristic; not a quantum-resource match,0.578125,0.578125,0.5625,1.0,1.0,0.578125,64,1024,0.0625
n10_d50_s42,10,0.5,42,tabu_search,64,64,61.0,1.0,1.0,1.0,1.0,0.765625,fixed-objective-evaluation-budget classical heuristic; not a quantum-resource match,0.765625,0.765625,0.765625,1.0,1.0,0.765625,64,1024,0.0625
