instance_id,starts,best_ratio,median_ratio,q1_ratio,q3_ratio,optimum_hit_fraction,target_q090_hit_fraction,target_q095_hit_fraction,target_q100_hit_fraction,oper_l025_hit_fraction,oper_l040_hit_fraction,oper_l055_hit_fraction
n8_d25_s17,256,1.0,1.0,0.975,1.0,0.578125,1.0,1.0,0.578125,1.0,1.0,1.0
n8_d25_s42,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
n8_d50_s17,256,1.0,0.9824561403508771,0.9473684210526315,1.0,0.484375,1.0,0.6171875,0.484375,1.0,0.92578125,0.0
n8_d50_s42,256,1.0,0.9333333333333333,0.9,1.0,0.41796875,0.8828125,0.41796875,0.41796875,1.0,0.8828125,0.41796875
n8_d75_s17,256,1.0,1.0,0.8777777777777778,1.0,0.6484375,0.6484375,0.6484375,0.6484375,1.0,1.0,0.6484375
n8_d75_s42,256,1.0,1.0,1.0,1.0,0.96875,0.96875,0.96875,0.96875,1.0,0.96875,0.96875
n10_d25_s17,256,1.0,1.0,0.864406779661017,1.0,0.69140625,0.69140625,0.69140625,0.69140625,1.0,0.96875,0.921875
n10_d25_s42,256,1.0,1.0,0.94,1.0,0.68359375,0.91015625,0.68359375,0.68359375,1.0,1.0,0.984375
n10_d50_s17,256,1.0,1.0,0.9714285714285714,1.0,0.640625,0.75390625,0.75390625,0.640625,1.0,0.75390625,0.640625
n10_d50_s42,256,1.0,1.0,0.8804347826086957,1.0,0.5859375,0.5859375,0.5859375,0.5859375,1.0,1.0,0.5859375
n10_d75_s17,256,1.0,0.9391304347826087,0.9304347826086956,1.0,0.35546875,0.97265625,0.37890625,0.35546875,1.0,0.35546875,0.0
n10_d75_s42,256,1.0,1.0,0.9402985074626866,1.0,0.5703125,0.875,0.5703125,0.5703125,1.0,0.99609375,0.875
n12_d25_s17,256,1.0,1.0,0.8518518518518519,1.0,0.66796875,0.66796875,0.66796875,0.66796875,1.0,1.0,0.86328125
n12_d25_s42,256,1.0,0.9032258064516129,0.8709677419354839,1.0,0.32421875,0.64453125,0.4921875,0.32421875,1.0,1.0,1.0
n12_d50_s17,256,1.0,0.957983193277311,0.957983193277311,0.9915966386554622,0.20703125,0.98046875,0.9140625,0.20703125,1.0,0.953125,0.0
n12_d50_s42,256,1.0,0.9765625,0.9765625,1.0,0.4921875,0.81640625,0.81640625,0.4921875,1.0,0.94921875,0.81640625
n12_d75_s17,256,1.0,0.9786585365853658,0.9634146341463414,0.9878048780487805,0.171875,0.99609375,0.890625,0.171875,1.0,0.97265625,0.5
n12_d75_s42,256,1.0,0.9771428571428571,0.9714285714285714,1.0,0.44921875,0.94140625,0.94140625,0.44921875,1.0,0.94140625,0.44921875
