instance_id,coverage_group,family,n,seed,operational_level,threshold,rho_tau_exact_validation,eps_per_logical_depth_model,k_star,p_target_eff,oracle_logical_depth_model,iteration_logical_depth_model,oracle_gate_equivalent_model,total_logical_qubits_model,evidence_label
n8_d25_s17,random_seed_expansion,random_fixed_density,8,17,0.25,25,0.28125,0.0,0,0.28124999999999994,249,266,1593.0,17,expanded exact coverage under architecture-informed logical model; not compiled or hardware measured
n8_d25_s17,random_seed_expansion,random_fixed_density,8,17,0.25,25,0.28125,0.001,0,0.2809688905781367,249,266,1593.0,17,expanded exact coverage under architecture-informed logical model; not compiled or hardware measured
n8_d25_s17,random_seed_expansion,random_fixed_density,8,17,0.4,28,0.1875,0.0,0,0.18749999999999997,249,266,1593.0,17,expanded exact coverage under architecture-informed logical model; not compiled or hardware measured
n8_d25_s17,random_seed_expansion,random_fixed_density,8,17,0.4,28,0.1875,0.001,0,0.1873125937187578,249,266,1593.0,17,expanded exact coverage under architecture-informed logical model; not compiled or hardware measured
n8_d25_s17,random_seed_expansion,random_fixed_density,8,17,0.55,31,0.1328125,0.0,0,0.1328125,249,266,1593.0,17,expanded exact coverage under architecture-informed logical model; not compiled or hardware measured
n8_d25_s17,random_seed_expansion,random_fixed_density,8,17,0.55,31,0.1328125,0.001,0,0.13267975388412012,249,266,1593.0,17,expanded exact coverage under architecture-informed logical model; not compiled or hardware measured
n8_d25_s42,random_seed_expansion,random_fixed_density,8,42,0.25,24,0.28125,0.0,0,0.28124999999999994,249,266,1593.0,17,expanded exact coverage under architecture-informed logical model; not compiled or hardware measured
n8_d25_s42,random_seed_expansion,random_fixed_density,8,42,0.25,24,0.28125,0.001,0,0.2809688905781367,249,266,1593.0,17,expanded exact coverage under architecture-informed logical model; not compiled or hardware measured
n8_d25_s42,random_seed_expansion,random_fixed_density,8,42,0.4,27,0.21875,0.0,0,0.21875,249,266,1593.0,17,expanded exact coverage under architecture-informed logical model; not compiled or hardware measured
n8_d25_s42,random_seed_expansion,random_fixed_density,8,42,0.4,27,0.21875,0.001,0,0.21853135933855078,249,266,1593.0,17,expanded exact coverage under architecture-informed logical model; not compiled or hardware measured
n8_d25_s42,random_seed_expansion,random_fixed_density,8,42,0.55,30,0.0625,0.0,0,0.0625,249,266,1593.0,17,expanded exact coverage under architecture-informed logical model; not compiled or hardware measured
n8_d25_s42,random_seed_expansion,random_fixed_density,8,42,0.55,30,0.0625,0.001,0,0.06243753123958594,249,266,1593.0,17,expanded exact coverage under architecture-informed logical model; not compiled or hardware measured
n8_d25_s73,random_seed_expansion,random_fixed_density,8,73,0.25,24,0.25,0.0,0,0.25,249,266,1593.0,17,expanded exact coverage under architecture-informed logical model; not compiled or hardware measured
n8_d25_s73,random_seed_expansion,random_fixed_density,8,73,0.25,24,0.25,0.001,0,0.24975012495834376,249,266,1593.0,17,expanded exact coverage under architecture-informed logical model; not compiled or hardware measured
n8_d25_s73,random_seed_expansion,random_fixed_density,8,73,0.4,27,0.140625,0.0,0,0.140625,249,266,1593.0,17,expanded exact coverage under architecture-informed logical model; not compiled or hardware measured
n8_d25_s73,random_seed_expansion,random_fixed_density,8,73,0.4,27,0.140625,0.001,0,0.14048444528906837,249,266,1593.0,17,expanded exact coverage under architecture-informed logical model; not compiled or hardware measured
n8_d25_s73,random_seed_expansion,random_fixed_density,8,73,0.55,30,0.09375,0.0,0,0.09374999999999999,249,266,1593.0,17,expanded exact coverage under architecture-informed logical model; not compiled or hardware measured
n8_d25_s73,random_seed_expansion,random_fixed_density,8,73,0.55,30,0.09375,0.001,0,0.0936562968593789,249,266,1593.0,17,expanded exact coverage under architecture-informed logical model; not compiled or hardware measured
n8_d25_s101,random_seed_expansion,random_fixed_density,8,101,0.25,23,0.3046875,0.0,0,0.30468750000000006,249,266,1593.0,17,expanded exact coverage under architecture-informed logical model; not compiled or hardware measured
n8_d25_s101,random_seed_expansion,random_fixed_density,8,101,0.25,23,0.3046875,0.001,0,0.3043829647929815,249,266,1593.0,17,expanded exact coverage under architecture-informed logical model; not compiled or hardware measured
n8_d25_s101,random_seed_expansion,random_fixed_density,8,101,0.4,26,0.1875,0.0,0,0.18749999999999997,249,266,1593.0,17,expanded exact coverage under architecture-informed logical model; not compiled or hardware measured
