instance_id,coverage_group,family,n,seed,operational_level,threshold,random_expectation_anchor,spectral_upper_bound,target_event_count_exact_validation,rho_tau_exact_validation,feasible_exact_validation,realized_quality_ratio_exact_validation,construction_uses_C_star,evidence_label
n8_d25_s17,random_seed_expansion,random_fixed_density,8,17,0.25,25,20.0,40.0,72,0.28125,True,0.625,False,exact post-construction threshold validation on expanded coverage suite
n8_d25_s17,random_seed_expansion,random_fixed_density,8,17,0.4,28,20.0,40.0,48,0.1875,True,0.7,False,exact post-construction threshold validation on expanded coverage suite
n8_d25_s17,random_seed_expansion,random_fixed_density,8,17,0.55,31,20.0,40.0,34,0.1328125,True,0.775,False,exact post-construction threshold validation on expanded coverage suite
n8_d25_s42,random_seed_expansion,random_fixed_density,8,42,0.25,24,19.0,38.0,72,0.28125,True,0.7741935483870968,False,exact post-construction threshold validation on expanded coverage suite
n8_d25_s42,random_seed_expansion,random_fixed_density,8,42,0.4,27,19.0,38.0,56,0.21875,True,0.8709677419354839,False,exact post-construction threshold validation on expanded coverage suite
n8_d25_s42,random_seed_expansion,random_fixed_density,8,42,0.55,30,19.0,38.0,16,0.0625,True,0.967741935483871,False,exact post-construction threshold validation on expanded coverage suite
n8_d25_s73,random_seed_expansion,random_fixed_density,8,73,0.25,24,19.0,38.0,64,0.25,True,0.631578947368421,False,exact post-construction threshold validation on expanded coverage suite
n8_d25_s73,random_seed_expansion,random_fixed_density,8,73,0.4,27,19.0,38.0,36,0.140625,True,0.7105263157894737,False,exact post-construction threshold validation on expanded coverage suite
n8_d25_s73,random_seed_expansion,random_fixed_density,8,73,0.55,30,19.0,38.0,24,0.09375,True,0.7894736842105263,False,exact post-construction threshold validation on expanded coverage suite
n8_d25_s101,random_seed_expansion,random_fixed_density,8,101,0.25,23,18.0,36.0,78,0.3046875,True,0.6388888888888888,False,exact post-construction threshold validation on expanded coverage suite
n8_d25_s101,random_seed_expansion,random_fixed_density,8,101,0.4,26,18.0,36.0,48,0.1875,True,0.7222222222222222,False,exact post-construction threshold validation on expanded coverage suite
n8_d25_s101,random_seed_expansion,random_fixed_density,8,101,0.55,28,18.0,36.0,32,0.125,True,0.7777777777777778,False,exact post-construction threshold validation on expanded coverage suite
n8_d25_s211,random_seed_expansion,random_fixed_density,8,211,0.25,28,22.0,44.0,76,0.296875,True,0.6363636363636364,False,exact post-construction threshold validation on expanded coverage suite
n8_d25_s211,random_seed_expansion,random_fixed_density,8,211,0.4,31,22.0,44.0,48,0.1875,True,0.7045454545454546,False,exact post-construction threshold validation on expanded coverage suite
n8_d25_s211,random_seed_expansion,random_fixed_density,8,211,0.55,35,22.0,44.0,20,0.078125,True,0.7954545454545454,False,exact post-construction threshold validation on expanded coverage suite
n8_d50_s17,random_seed_expansion,random_fixed_density,8,17,0.25,48,38.0,76.0,50,0.1953125,True,0.8421052631578947,False,exact post-construction threshold validation on expanded coverage suite
n8_d50_s17,random_seed_expansion,random_fixed_density,8,17,0.4,54,38.0,76.0,16,0.0625,True,0.9473684210526315,False,exact post-construction threshold validation on expanded coverage suite
n8_d50_s17,random_seed_expansion,random_fixed_density,8,17,0.55,59,38.0,76.0,0,0.0,False,1.0350877192982457,False,exact post-construction threshold validation on expanded coverage suite
n8_d50_s42,random_seed_expansion,random_fixed_density,8,42,0.25,49,38.5,77.0,48,0.1875,True,0.8166666666666667,False,exact post-construction threshold validation on expanded coverage suite
n8_d50_s42,random_seed_expansion,random_fixed_density,8,42,0.4,54,38.5,77.0,12,0.046875,True,0.9,False,exact post-construction threshold validation on expanded coverage suite
n8_d50_s42,random_seed_expansion,random_fixed_density,8,42,0.55,60,38.5,77.0,4,0.015625,True,1.0,False,exact post-construction threshold validation on expanded coverage suite
n8_d50_s73,random_seed_expansion,random_fixed_density,8,73,0.25,46,37.0,71.94382510787621,58,0.2265625,True,0.7666666666666667,False,exact post-construction threshold validation on expanded coverage suite
n8_d50_s73,random_seed_expansion,random_fixed_density,8,73,0.4,51,37.0,71.94382510787621,24,0.09375,True,0.85,False,exact post-construction threshold validation on expanded coverage suite
n8_d50_s73,random_seed_expansion,random_fixed_density,8,73,0.55,57,37.0,71.94382510787621,4,0.015625,True,0.95,False,exact post-construction threshold validation on expanded coverage suite
n8_d50_s101,random_seed_expansion,random_fixed_density,8,101,0.25,54,42.5,85.0,38,0.1484375,True,0.8059701492537313,False,exact post-construction threshold validation on expanded coverage suite
n8_d50_s101,random_seed_expansion,random_fixed_density,8,101,0.4,60,42.5,85.0,10,0.0390625,True,0.8955223880597015,False,exact post-construction threshold validation on expanded coverage suite
n8_d50_s101,random_seed_expansion,random_fixed_density,8,101,0.55,66,42.5,85.0,4,0.015625,True,0.9850746268656716,False,exact post-construction threshold validation on expanded coverage suite
n8_d50_s211,random_seed_expansion,random_fixed_density,8,211,0.25,47,37.0,74.0,52,0.203125,True,0.7580645161290323,False,exact post-construction threshold validation on expanded coverage suite
n8_d50_s211,random_seed_expansion,random_fixed_density,8,211,0.4,52,37.0,74.0,24,0.09375,True,0.8387096774193549,False,exact post-construction threshold validation on expanded coverage suite
n8_d50_s211,random_seed_expansion,random_fixed_density,8,211,0.55,58,37.0,74.0,4,0.015625,True,0.9354838709677419,False,exact post-construction threshold validation on expanded coverage suite
n8_d75_s17,random_seed_expansion,random_fixed_density,8,17,0.25,71,59.5,102.64161456720677,56,0.21875,True,0.7888888888888889,False,exact post-construction threshold validation on expanded coverage suite
n8_d75_s17,random_seed_expansion,random_fixed_density,8,17,0.4,77,59.5,102.64161456720677,20,0.078125,True,0.8555555555555555,False,exact post-construction threshold validation on expanded coverage suite
n8_d75_s17,random_seed_expansion,random_fixed_density,8,17,0.55,84,59.5,102.64161456720677,4,0.015625,True,0.9333333333333333,False,exact post-construction threshold validation on expanded coverage suite
n8_d75_s42,random_seed_expansion,random_fixed_density,8,42,0.25,74,61.5,108.86391869310631,42,0.1640625,True,0.8043478260869565,False,exact post-construction threshold validation on expanded coverage suite
n8_d75_s42,random_seed_expansion,random_fixed_density,8,42,0.4,81,61.5,108.86391869310631,14,0.0546875,True,0.8804347826086957,False,exact post-construction threshold validation on expanded coverage suite
n8_d75_s42,random_seed_expansion,random_fixed_density,8,42,0.55,88,61.5,108.86391869310631,10,0.0390625,True,0.9565217391304348,False,exact post-construction threshold validation on expanded coverage suite
n8_d75_s73,random_seed_expansion,random_fixed_density,8,73,0.25,57,48.5,81.20365509840946,60,0.234375,True,0.7916666666666666,False,exact post-construction threshold validation on expanded coverage suite
n8_d75_s73,random_seed_expansion,random_fixed_density,8,73,0.4,62,48.5,81.20365509840946,40,0.15625,True,0.8611111111111112,False,exact post-construction threshold validation on expanded coverage suite
n8_d75_s73,random_seed_expansion,random_fixed_density,8,73,0.55,67,48.5,81.20365509840946,12,0.046875,True,0.9305555555555556,False,exact post-construction threshold validation on expanded coverage suite
n8_d75_s101,random_seed_expansion,random_fixed_density,8,101,0.25,71,59.5,103.08009913031762,50,0.1953125,True,0.8452380952380952,False,exact post-construction threshold validation on expanded coverage suite
n8_d75_s101,random_seed_expansion,random_fixed_density,8,101,0.4,77,59.5,103.08009913031762,16,0.0625,True,0.9166666666666666,False,exact post-construction threshold validation on expanded coverage suite
n8_d75_s101,random_seed_expansion,random_fixed_density,8,101,0.55,84,59.5,103.08009913031762,4,0.015625,True,1.0,False,exact post-construction threshold validation on expanded coverage suite
n8_d75_s211,random_seed_expansion,random_fixed_density,8,211,0.25,58,49.0,83.44938326101385,68,0.265625,True,0.7733333333333333,False,exact post-construction threshold validation on expanded coverage suite
n8_d75_s211,random_seed_expansion,random_fixed_density,8,211,0.4,63,49.0,83.44938326101385,28,0.109375,True,0.84,False,exact post-construction threshold validation on expanded coverage suite
n8_d75_s211,random_seed_expansion,random_fixed_density,8,211,0.55,68,49.0,83.44938326101385,4,0.015625,True,0.9066666666666666,False,exact post-construction threshold validation on expanded coverage suite
n10_d25_s17,random_seed_expansion,random_fixed_density,10,17,0.25,37,29.5,59.0,220,0.21484375,True,0.6271186440677966,False,exact post-construction threshold validation on expanded coverage suite
n10_d25_s17,random_seed_expansion,random_fixed_density,10,17,0.4,42,29.5,59.0,88,0.0859375,True,0.711864406779661,False,exact post-construction threshold validation on expanded coverage suite
n10_d25_s17,random_seed_expansion,random_fixed_density,10,17,0.55,46,29.5,59.0,52,0.05078125,True,0.7796610169491526,False,exact post-construction threshold validation on expanded coverage suite
n10_d25_s42,random_seed_expansion,random_fixed_density,10,42,0.25,35,27.5,55.0,228,0.22265625,True,0.7,False,exact post-construction threshold validation on expanded coverage suite
n10_d25_s42,random_seed_expansion,random_fixed_density,10,42,0.4,39,27.5,55.0,128,0.125,True,0.78,False,exact post-construction threshold validation on expanded coverage suite
n10_d25_s42,random_seed_expansion,random_fixed_density,10,42,0.55,43,27.5,55.0,40,0.0390625,True,0.86,False,exact post-construction threshold validation on expanded coverage suite
n10_d25_s73,random_seed_expansion,random_fixed_density,10,73,0.25,35,28.0,56.0,250,0.244140625,True,0.6481481481481481,False,exact post-construction threshold validation on expanded coverage suite
n10_d25_s73,random_seed_expansion,random_fixed_density,10,73,0.4,40,28.0,56.0,114,0.111328125,True,0.7407407407407407,False,exact post-construction threshold validation on expanded coverage suite
n10_d25_s73,random_seed_expansion,random_fixed_density,10,73,0.55,44,28.0,56.0,46,0.044921875,True,0.8148148148148148,False,exact post-construction threshold validation on expanded coverage suite
n10_d25_s101,random_seed_expansion,random_fixed_density,10,101,0.25,34,26.5,53.0,252,0.24609375,True,0.723404255319149,False,exact post-construction threshold validation on expanded coverage suite
n10_d25_s101,random_seed_expansion,random_fixed_density,10,101,0.4,38,26.5,53.0,92,0.08984375,True,0.8085106382978723,False,exact post-construction threshold validation on expanded coverage suite
n10_d25_s101,random_seed_expansion,random_fixed_density,10,101,0.55,42,26.5,53.0,64,0.0625,True,0.8936170212765957,False,exact post-construction threshold validation on expanded coverage suite
n10_d25_s211,random_seed_expansion,random_fixed_density,10,211,0.25,28,22.0,44.0,234,0.228515625,True,0.7368421052631579,False,exact post-construction threshold validation on expanded coverage suite
n10_d25_s211,random_seed_expansion,random_fixed_density,10,211,0.4,31,22.0,44.0,96,0.09375,True,0.8157894736842105,False,exact post-construction threshold validation on expanded coverage suite
n10_d25_s211,random_seed_expansion,random_fixed_density,10,211,0.55,35,22.0,44.0,14,0.013671875,True,0.9210526315789473,False,exact post-construction threshold validation on expanded coverage suite
n10_d50_s17,random_seed_expansion,random_fixed_density,10,17,0.25,56,44.5,89.0,162,0.158203125,True,0.8,False,exact post-construction threshold validation on expanded coverage suite
n10_d50_s17,random_seed_expansion,random_fixed_density,10,17,0.4,63,44.5,89.0,28,0.02734375,True,0.9,False,exact post-construction threshold validation on expanded coverage suite
n10_d50_s17,random_seed_expansion,random_fixed_density,10,17,0.55,69,44.5,89.0,4,0.00390625,True,0.9857142857142858,False,exact post-construction threshold validation on expanded coverage suite
n10_d50_s42,random_seed_expansion,random_fixed_density,10,42,0.25,67,53.5,107.0,144,0.140625,True,0.7282608695652174,False,exact post-construction threshold validation on expanded coverage suite
n10_d50_s42,random_seed_expansion,random_fixed_density,10,42,0.4,75,53.5,107.0,48,0.046875,True,0.8152173913043478,False,exact post-construction threshold validation on expanded coverage suite
n10_d50_s42,random_seed_expansion,random_fixed_density,10,42,0.55,83,53.5,107.0,4,0.00390625,True,0.9021739130434783,False,exact post-construction threshold validation on expanded coverage suite
n10_d50_s73,random_seed_expansion,random_fixed_density,10,73,0.25,71,57.0,112.26827345640655,150,0.146484375,True,0.7553191489361702,False,exact post-construction threshold validation on expanded coverage suite
n10_d50_s73,random_seed_expansion,random_fixed_density,10,73,0.4,80,57.0,112.26827345640655,38,0.037109375,True,0.851063829787234,False,exact post-construction threshold validation on expanded coverage suite
n10_d50_s73,random_seed_expansion,random_fixed_density,10,73,0.55,88,57.0,112.26827345640655,12,0.01171875,True,0.9361702127659575,False,exact post-construction threshold validation on expanded coverage suite
n10_d50_s101,random_seed_expansion,random_fixed_density,10,101,0.25,65,52.0,104.0,172,0.16796875,True,0.8333333333333334,False,exact post-construction threshold validation on expanded coverage suite
n10_d50_s101,random_seed_expansion,random_fixed_density,10,101,0.4,73,52.0,104.0,28,0.02734375,True,0.9358974358974359,False,exact post-construction threshold validation on expanded coverage suite
n10_d50_s101,random_seed_expansion,random_fixed_density,10,101,0.55,81,52.0,104.0,0,0.0,False,1.0384615384615385,False,exact post-construction threshold validation on expanded coverage suite
n10_d50_s211,random_seed_expansion,random_fixed_density,10,211,0.25,73,58.0,116.0,144,0.140625,True,0.7684210526315789,False,exact post-construction threshold validation on expanded coverage suite
n10_d50_s211,random_seed_expansion,random_fixed_density,10,211,0.4,82,58.0,116.0,40,0.0390625,True,0.8631578947368421,False,exact post-construction threshold validation on expanded coverage suite
n10_d50_s211,random_seed_expansion,random_fixed_density,10,211,0.55,90,58.0,116.0,8,0.0078125,True,0.9473684210526315,False,exact post-construction threshold validation on expanded coverage suite
n10_d75_s17,random_seed_expansion,random_fixed_density,10,17,0.25,101,81.0,160.1701316073504,100,0.09765625,True,0.8782608695652174,False,exact post-construction threshold validation on expanded coverage suite
n10_d75_s17,random_seed_expansion,random_fixed_density,10,17,0.4,113,81.0,160.1701316073504,6,0.005859375,True,0.9826086956521739,False,exact post-construction threshold validation on expanded coverage suite
n10_d75_s17,random_seed_expansion,random_fixed_density,10,17,0.55,125,81.0,160.1701316073504,0,0.0,False,1.0869565217391304,False,exact post-construction threshold validation on expanded coverage suite
n10_d75_s42,random_seed_expansion,random_fixed_density,10,42,0.25,106,91.0,150.02546287691598,180,0.17578125,True,0.7910447761194029,False,exact post-construction threshold validation on expanded coverage suite
n10_d75_s42,random_seed_expansion,random_fixed_density,10,42,0.4,115,91.0,150.02546287691598,60,0.05859375,True,0.8582089552238806,False,exact post-construction threshold validation on expanded coverage suite
n10_d75_s42,random_seed_expansion,random_fixed_density,10,42,0.55,124,91.0,150.02546287691598,10,0.009765625,True,0.9253731343283582,False,exact post-construction threshold validation on expanded coverage suite
n10_d75_s73,random_seed_expansion,random_fixed_density,10,73,0.25,98,82.5,141.12967468255246,166,0.162109375,True,0.8099173553719008,False,exact post-construction threshold validation on expanded coverage suite
