tier,instance_id,n,density_target,seed,operational_level,threshold,random_expectation_anchor,spectral_upper_bound,target_event_count_exact_validation,rho_tau_exact_validation,feasible_exact_validation,realized_quality_ratio_exact_validation,construction_uses_C_star,declared_level,k_star_zero_fixed_zero_attenuation,break_even_fixed_overhead_ratio_to_oracle_zero_attenuation,evidence_label
primary,n8_d25_s17,8,0.25,17,0.0,20,20.0,40.0,128,0.5,True,0.5,False,False,0,1823730960853321.5,"dense operational-lambda audit; exact retrospective validation, not population inference"
primary,n8_d25_s17,8,0.25,17,0.05,21,20.0,40.0,128,0.5,True,0.525,False,False,0,1823730960853321.5,"dense operational-lambda audit; exact retrospective validation, not population inference"
primary,n8_d25_s17,8,0.25,17,0.1,22,20.0,40.0,120,0.46875,True,0.55,False,False,0,4.083453343672685,"dense operational-lambda audit; exact retrospective validation, not population inference"
primary,n8_d25_s17,8,0.25,17,0.15,23,20.0,40.0,112,0.4375,True,0.575,False,False,0,1.925646927530169,"dense operational-lambda audit; exact retrospective validation, not population inference"
primary,n8_d25_s17,8,0.25,17,0.2,24,20.0,40.0,92,0.359375,True,0.6,False,False,0,0.7484097942046588,"dense operational-lambda audit; exact retrospective validation, not population inference"
primary,n8_d25_s17,8,0.25,17,0.25,25,20.0,40.0,72,0.28125,True,0.625,False,True,0,0.4266803913082466,"dense operational-lambda audit; exact retrospective validation, not population inference"
primary,n8_d25_s17,8,0.25,17,0.3,26,20.0,40.0,60,0.234375,True,0.65,False,False,0,0.328731115798485,"dense operational-lambda audit; exact retrospective validation, not population inference"
primary,n8_d25_s17,8,0.25,17,0.35,27,20.0,40.0,48,0.1875,True,0.675,False,False,0,0.26230141484378766,"dense operational-lambda audit; exact retrospective validation, not population inference"
primary,n8_d25_s17,8,0.25,17,0.4,28,20.0,40.0,48,0.1875,True,0.7,False,True,0,0.26230141484378766,"dense operational-lambda audit; exact retrospective validation, not population inference"
primary,n8_d25_s17,8,0.25,17,0.45,29,20.0,40.0,46,0.1796875,True,0.725,False,False,0,0.2532974912746168,"dense operational-lambda audit; exact retrospective validation, not population inference"
primary,n8_d25_s17,8,0.25,17,0.5,30,20.0,40.0,44,0.171875,True,0.75,False,False,0,0.24476807506335274,"dense operational-lambda audit; exact retrospective validation, not population inference"
primary,n8_d25_s17,8,0.25,17,0.55,31,20.0,40.0,34,0.1328125,True,0.775,False,True,0,0.20813986242523325,"dense operational-lambda audit; exact retrospective validation, not population inference"
primary,n8_d25_s17,8,0.25,17,0.6,32,20.0,40.0,24,0.09375,True,0.8,False,False,0,0.17933898471595727,"dense operational-lambda audit; exact retrospective validation, not population inference"
primary,n8_d25_s17,8,0.25,17,0.65,33,20.0,40.0,16,0.0625,True,0.825,False,False,0,0.15544921006314602,"dense operational-lambda audit; exact retrospective validation, not population inference"
primary,n8_d25_s17,8,0.25,17,0.7,34,20.0,40.0,8,0.03125,True,0.85,False,False,0,0.11258713273540384,"dense operational-lambda audit; exact retrospective validation, not population inference"
