tier,operational_level,declared_level,instances,feasible_count,feasible_fraction,median_tau_over_Cstar_feasible,median_rho_tau_feasible,zero_fixed_zero_attenuation_nonzero_k_fraction,median_break_even_fixed_overhead_ratio_to_oracle,evidence_label
connected_validation,0.0,False,45,45,1.0,0.6507936507936508,0.53515625,0.0,8.37623171352859,dense lambda summary; descriptive exact-tier sensitivity
connected_validation,0.05,False,45,45,1.0,0.6824324324324325,0.435546875,0.0,1.749955782302148,dense lambda summary; descriptive exact-tier sensitivity
connected_validation,0.1,False,45,45,1.0,0.7132352941176471,0.35693359375,0.0,0.6941780890689273,dense lambda summary; descriptive exact-tier sensitivity
connected_validation,0.15,False,45,45,1.0,0.7432432432432432,0.279296875,0.0,0.40109872818920744,dense lambda summary; descriptive exact-tier sensitivity
connected_validation,0.2,False,45,45,1.0,0.7688172043010753,0.197265625,0.0,0.2657575774584626,dense lambda summary; descriptive exact-tier sensitivity
connected_validation,0.25,True,45,45,1.0,0.7941176470588235,0.1400146484375,0.0,0.2083866370693401,dense lambda summary; descriptive exact-tier sensitivity
connected_validation,0.3,False,45,45,1.0,0.8245614035087719,0.090087890625,0.0,0.1707344650202786,dense lambda summary; descriptive exact-tier sensitivity
connected_validation,0.35,False,45,45,1.0,0.8596491228070176,0.0625,0.0,0.14930866209027516,dense lambda summary; descriptive exact-tier sensitivity
connected_validation,0.4,True,45,45,1.0,0.8859649122807017,0.03369140625,0.0,0.11455301633595595,dense lambda summary; descriptive exact-tier sensitivity
connected_validation,0.45,False,45,43,0.9555555555555556,0.9166666666666666,0.017578125,0.0,0.08332986900741361,dense lambda summary; descriptive exact-tier sensitivity
connected_validation,0.5,False,45,42,0.9333333333333333,0.9359407817222478,0.009765625,0.0,0.06309834278737302,dense lambda summary; descriptive exact-tier sensitivity
connected_validation,0.55,True,45,36,0.8,0.9456919697339516,0.0067138671875,0.0,0.05290630454442245,dense lambda summary; descriptive exact-tier sensitivity
connected_validation,0.6,False,45,28,0.6222222222222222,0.9380389651868413,0.00384521484375,0.0,0.040064540051882626,dense lambda summary; descriptive exact-tier sensitivity
connected_validation,0.65,False,45,20,0.4444444444444444,0.9457281553398058,0.004150390625,0.0,0.041581301061293444,dense lambda summary; descriptive exact-tier sensitivity
connected_validation,0.7,False,45,16,0.35555555555555557,0.9489316239316239,0.00390625,0.0,0.04020478350971448,dense lambda summary; descriptive exact-tier sensitivity
connected_validation,0.75,False,45,12,0.26666666666666666,0.9556097560975609,0.00390625,0.0,0.03988970117217614,dense lambda summary; descriptive exact-tier sensitivity
connected_validation,0.8,False,45,9,0.2,0.9705882352941176,0.001953125,0.0,0.027423358635105286,dense lambda summary; descriptive exact-tier sensitivity
connected_validation,0.85,False,45,6,0.13333333333333333,0.986247723132969,0.0009765625,0.0,0.019112619894559493,dense lambda summary; descriptive exact-tier sensitivity
connected_validation,0.9,False,45,3,0.06666666666666667,1.0,0.00048828125,0.0,0.0127446238704481,dense lambda summary; descriptive exact-tier sensitivity
connected_validation,0.95,False,45,0,0.0,nan,nan,nan,nan,dense lambda summary; descriptive exact-tier sensitivity
connected_validation,1.0,False,45,0,0.0,nan,nan,nan,nan,dense lambda summary; descriptive exact-tier sensitivity
primary,0.0,False,18,18,1.0,0.6464285714285715,0.551025390625,0.0,5.8555611885342636,dense lambda summary; descriptive exact-tier sensitivity
primary,0.05,False,18,18,1.0,0.6773809523809524,0.46875,0.0,3.973889766621049,dense lambda summary; descriptive exact-tier sensitivity
primary,0.1,False,18,18,1.0,0.7055555555555555,0.385986328125,0.0,0.9353529059404323,dense lambda summary; descriptive exact-tier sensitivity
primary,0.15,False,18,18,1.0,0.7380952380952381,0.304931640625,0.0,0.487284254634921,dense lambda summary; descriptive exact-tier sensitivity
primary,0.2,False,18,18,1.0,0.7676616915422886,0.2265625,0.0,0.3087522986285949,dense lambda summary; descriptive exact-tier sensitivity
primary,0.25,True,18,18,1.0,0.7899668325041459,0.181640625,0.0,0.24542219660578135,dense lambda summary; descriptive exact-tier sensitivity
primary,0.3,False,18,18,1.0,0.8122719734660033,0.126953125,0.0,0.1958271049510774,dense lambda summary; descriptive exact-tier sensitivity
primary,0.35,False,18,18,1.0,0.8372652864708714,0.0859375,0.0,0.16761048108403706,dense lambda summary; descriptive exact-tier sensitivity
primary,0.4,True,18,18,1.0,0.865171370967742,0.056640625,0.0,0.14123389767485542,dense lambda summary; descriptive exact-tier sensitivity
primary,0.45,False,18,17,0.9444444444444444,0.890625,0.037109375,0.0,0.11662385887982604,dense lambda summary; descriptive exact-tier sensitivity
primary,0.5,False,18,16,0.8888888888888888,0.9125868055555555,0.0205078125,0.0,0.08895230163150858,dense lambda summary; descriptive exact-tier sensitivity
primary,0.55,True,18,15,0.8333333333333334,0.9333333333333333,0.015625,0.0,0.07882706097565684,dense lambda summary; descriptive exact-tier sensitivity
primary,0.6,False,18,11,0.6111111111111112,0.9347826086956522,0.015625,0.0,0.07857999395712646,dense lambda summary; descriptive exact-tier sensitivity
primary,0.65,False,18,8,0.4444444444444444,0.9044444444444444,0.012451171875,0.0,0.07056000304838803,dense lambda summary; descriptive exact-tier sensitivity
primary,0.7,False,18,8,0.4444444444444444,0.9267901234567901,0.007568359375,0.0,0.055887753547598173,dense lambda summary; descriptive exact-tier sensitivity
primary,0.75,False,18,5,0.2777777777777778,0.9193548387096774,0.0078125,0.0,0.05678757889283992,dense lambda summary; descriptive exact-tier sensitivity
primary,0.8,False,18,5,0.2777777777777778,0.9516129032258065,0.0078125,0.0,0.05678757889283992,dense lambda summary; descriptive exact-tier sensitivity
