tier,instance_id,family,n,n_edges,density_target,seed,C_star,spectral_upper_bound,sdp_primal_value,sdp_dual_upper_bound,sdp_primal_dual_gap,sdp_dual_min_eigenvalue,sdp_dual_diagonal_shift,sdp_numerically_certified,sdp_certificate_tolerance,sdp_starts,sdp_max_sweeps,sdp_upper_bound_over_Cstar,sdp_tightening_vs_spectral,rounding_samples,rounding_mean_cut,rounding_median_cut,rounding_q1_cut,rounding_q3_cut,rounding_best_cut,rounding_mean_ratio_to_Cstar,rounding_median_ratio_to_Cstar,rounding_best_ratio_to_Cstar,rounding_optimum_hit_fraction,rounding_target_q090_hit_fraction,rounding_target_q095_hit_fraction,rounding_target_q100_hit_fraction,rounding_oper_l025_hit_fraction,rounding_oper_l040_hit_fraction,rounding_oper_l055_hit_fraction,evidence_label
primary,n8_d25_s17,random_fixed_density,8,7,0.25,17,40,40.0,39.99999999999998,40.0000000008,8.000213824743696e-10,9.999972567673932e-11,1.0000309896151862e-10,True,1e-06,12,2500,1.00000000002,-8.000000661922968e-10,4096,40.0,40.0,40.0,40.0,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Goemans-Williamson SDP relaxation with numerical primal-dual certificate and seeded random-hyperplane rounding; exact C* used only for retrospective scoring
primary,n8_d25_s42,random_fixed_density,8,7,0.25,42,31,38.0,31.410714285714285,31.410714293036214,7.321929729187104e-09,1.0000002230219642e-10,9.152410833952459e-10,True,1e-06,12,2500,1.0132488481624586,6.589285706963786,4096,29.79638671875,30.0,29.0,31.0,31,0.9611737651209677,0.967741935483871,1.0,0.38818359375,0.921875,0.632568359375,0.38818359375,1.0,0.9736328125,0.632568359375,Goemans-Williamson SDP relaxation with numerical primal-dual certificate and seeded random-hyperplane rounding; exact C* used only for retrospective scoring
primary,n8_d50_s17,random_fixed_density,8,14,0.5,17,57,76.0,59.330135511845825,59.33013551264587,8.000426987564424e-10,1.0000063860170486e-10,1.0000673946488074e-10,True,1e-06,12,2500,1.040879570397296,16.669864487354133,4096,55.53955078125,57.0,56.0,57.0,57,0.974378083881579,1.0,1.0,0.51904296875,0.882568359375,0.833251953125,0.51904296875,0.996826171875,0.833251953125,0.0,Goemans-Williamson SDP relaxation with numerical primal-dual certificate and seeded random-hyperplane rounding; exact C* used only for retrospective scoring
primary,n8_d50_s42,random_fixed_density,8,14,0.5,42,60,77.0,59.99999999999999,60.00000000079999,8.000000661922968e-10,9.999999024261393e-11,1.0000085293525573e-10,True,1e-06,12,2500,1.0000000000133331,16.999999999200007,4096,60.0,60.0,60.0,60.0,60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Goemans-Williamson SDP relaxation with numerical primal-dual certificate and seeded random-hyperplane rounding; exact C* used only for retrospective scoring
primary,n8_d75_s17,random_fixed_density,8,21,0.75,17,90,102.64161456720677,90.84456644355501,90.84456646615553,2.260051701341581e-08,9.999981460195549e-11,2.8250652627881045e-09,True,1e-06,12,2500,1.0093840718461726,11.797048101051246,4096,85.287109375,86.0,79.0,90.0,90,0.9476345486111111,0.9555555555555556,1.0,0.48583984375,0.74853515625,0.74853515625,0.48583984375,0.944580078125,0.853515625,0.74853515625,Goemans-Williamson SDP relaxation with numerical primal-dual certificate and seeded random-hyperplane rounding; exact C* used only for retrospective scoring
primary,n8_d75_s42,random_fixed_density,8,21,0.75,42,92,108.86391869310634,93.54906887698444,93.54906887778444,8.000000661922968e-10,9.999746520373503e-11,1.0000235805989574e-10,True,1e-06,12,2500,1.016837705193309,15.314849815321907,4096,86.10400390625,88.0,80.0,92.0,92,0.9359130859375,0.9565217391304348,1.0,0.482666015625,0.730224609375,0.535888671875,0.482666015625,0.989990234375,0.730224609375,0.535888671875,Goemans-Williamson SDP relaxation with numerical primal-dual certificate and seeded random-hyperplane rounding; exact C* used only for retrospective scoring
primary,n10_d25_s17,random_fixed_density,10,11,0.25,17,59,59.0,59.0,59.000000001,9.999965300266922e-10,9.999970771179933e-11,1.0000038186743818e-10,True,1e-06,12,2500,1.000000000016949,-9.999965300266922e-10,4096,59.0,59.0,59.0,59.0,59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Goemans-Williamson SDP relaxation with numerical primal-dual certificate and seeded random-hyperplane rounding; exact C* used only for retrospective scoring
primary,n10_d25_s42,random_fixed_density,10,11,0.25,42,50,55.0,51.158046971101925,51.158047049275346,7.817342151383855e-08,1.0000039038008882e-10,7.817342160987497e-09,True,1e-06,12,2500,1.023160940985507,3.8419529507246537,4096,48.826416015625,50.0,48.0,50.0,50,0.9765283203125,1.0,1.0,0.6015625,0.990234375,0.81494140625,0.6015625,1.0,1.0,0.990234375,Goemans-Williamson SDP relaxation with numerical primal-dual certificate and seeded random-hyperplane rounding; exact C* used only for retrospective scoring
primary,n10_d50_s17,random_fixed_density,10,22,0.5,17,70,89.0,71.34556616459659,71.34556628277291,1.1817631673238793e-07,1.0000026398601792e-10,1.18176320514821e-08,True,1e-06,12,2500,1.0192223754681844,17.654433717227093,4096,68.3486328125,70.0,68.0,70.0,70,0.9764090401785714,1.0,1.0,0.614501953125,0.959716796875,0.8525390625,0.614501953125,0.999755859375,0.959716796875,0.614501953125,Goemans-Williamson SDP relaxation with numerical primal-dual certificate and seeded random-hyperplane rounding; exact C* used only for retrospective scoring
primary,n10_d50_s42,random_fixed_density,10,22,0.5,42,92,107.0,91.9999999999999,92.00000000099998,1.0000746897276258e-09,9.999542871783627e-11,1.000084237034236e-10,True,1e-06,12,2500,1.0000000000108693,14.999999999000025,4096,92.0,92.0,92.0,92.0,92,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Goemans-Williamson SDP relaxation with numerical primal-dual certificate and seeded random-hyperplane rounding; exact C* used only for retrospective scoring
