instance_id,n,n_edges,density_target,seed,C_star,M_opt,state_count,rho_opt,optimum_states
n8_d25_s17,8,7,0.25,17,40,2,256,0.0078125,"[19, 236]"
n8_d25_s42,8,7,0.25,42,31,8,256,0.03125,"[10, 41, 86, 117, 138, 169, 214, 245]"
n8_d50_s17,8,14,0.5,17,57,4,256,0.015625,"[27, 89, 166, 228]"
n8_d50_s42,8,14,0.5,42,60,4,256,0.015625,"[45, 61, 194, 210]"
n8_d75_s17,8,21,0.75,17,90,2,256,0.0078125,"[94, 161]"
n8_d75_s42,8,21,0.75,42,92,2,256,0.0078125,"[118, 137]"
n10_d25_s17,10,11,0.25,17,59,4,1024,0.00390625,"[488, 492, 531, 535]"
n10_d25_s42,10,11,0.25,42,50,8,1024,0.0078125,"[299, 303, 393, 397, 626, 630, 720, 724]"
n10_d50_s17,10,22,0.5,17,70,4,1024,0.00390625,"[79, 270, 753, 944]"
n10_d50_s42,10,22,0.5,42,92,2,1024,0.001953125,"[180, 843]"
n10_d75_s17,10,34,0.75,17,115,4,1024,0.00390625,"[480, 488, 535, 543]"
n10_d75_s42,10,34,0.75,42,134,2,1024,0.001953125,"[271, 752]"
n12_d25_s17,12,16,0.25,17,81,4,4096,0.0009765625,"[1293, 1357, 2738, 2802]"
n12_d25_s42,12,16,0.25,42,62,2,4096,0.00048828125,"[1752, 2343]"
n12_d50_s17,12,33,0.5,17,119,2,4096,0.00048828125,"[1938, 2157]"
n12_d50_s42,12,33,0.5,42,128,2,4096,0.00048828125,"[921, 3174]"
n12_d75_s17,12,50,0.75,17,164,2,4096,0.00048828125,"[476, 3619]"
n12_d75_s42,12,50,0.75,42,175,2,4096,0.00048828125,"[635, 3460]"
