instance_id,n,density_target,seed,operational_level,threshold,random_expectation_anchor,spectral_upper_bound,target_event_count_exact_validation,rho_tau_exact_validation,feasible_exact_validation,realized_quality_ratio_exact_validation,construction_uses_C_star
n8_d25_s17,8,0.25,17,0.25,25,20.0,40.0,72,0.28125,True,0.625,False
n8_d25_s17,8,0.25,17,0.4,28,20.0,40.0,48,0.1875,True,0.7,False
n8_d25_s17,8,0.25,17,0.55,31,20.0,40.0,34,0.1328125,True,0.775,False
n8_d25_s42,8,0.25,42,0.25,24,19.0,38.0,72,0.28125,True,0.7741935483870968,False
n8_d25_s42,8,0.25,42,0.4,27,19.0,38.0,56,0.21875,True,0.8709677419354839,False
n8_d25_s42,8,0.25,42,0.55,30,19.0,38.0,16,0.0625,True,0.967741935483871,False
n8_d50_s17,8,0.5,17,0.25,48,38.0,76.0,50,0.1953125,True,0.8421052631578947,False
n8_d50_s17,8,0.5,17,0.4,54,38.0,76.0,16,0.0625,True,0.9473684210526315,False
n8_d50_s17,8,0.5,17,0.55,59,38.0,76.0,0,0.0,False,1.0350877192982457,False
n8_d50_s42,8,0.5,42,0.25,49,38.5,77.0,48,0.1875,True,0.8166666666666667,False
n8_d50_s42,8,0.5,42,0.4,54,38.5,77.0,12,0.046875,True,0.9,False
n8_d50_s42,8,0.5,42,0.55,60,38.5,77.0,4,0.015625,True,1.0,False
n8_d75_s17,8,0.75,17,0.25,71,59.5,102.64161456720677,56,0.21875,True,0.7888888888888889,False
n8_d75_s17,8,0.75,17,0.4,77,59.5,102.64161456720677,20,0.078125,True,0.8555555555555555,False
n8_d75_s17,8,0.75,17,0.55,84,59.5,102.64161456720677,4,0.015625,True,0.9333333333333333,False
n8_d75_s42,8,0.75,42,0.25,74,61.5,108.86391869310631,42,0.1640625,True,0.8043478260869565,False
n8_d75_s42,8,0.75,42,0.4,81,61.5,108.86391869310631,14,0.0546875,True,0.8804347826086957,False
n8_d75_s42,8,0.75,42,0.55,88,61.5,108.86391869310631,10,0.0390625,True,0.9565217391304348,False
n10_d25_s17,10,0.25,17,0.25,37,29.5,59.0,220,0.21484375,True,0.6271186440677966,False
n10_d25_s17,10,0.25,17,0.4,42,29.5,59.0,88,0.0859375,True,0.711864406779661,False
n10_d25_s17,10,0.25,17,0.55,46,29.5,59.0,52,0.05078125,True,0.7796610169491526,False
n10_d25_s42,10,0.25,42,0.25,35,27.5,55.0,228,0.22265625,True,0.7,False
n10_d25_s42,10,0.25,42,0.4,39,27.5,55.0,128,0.125,True,0.78,False
n10_d25_s42,10,0.25,42,0.55,43,27.5,55.0,40,0.0390625,True,0.86,False
n10_d50_s17,10,0.5,17,0.25,56,44.5,89.0,162,0.158203125,True,0.8,False
n10_d50_s17,10,0.5,17,0.4,63,44.5,89.0,28,0.02734375,True,0.9,False
n10_d50_s17,10,0.5,17,0.55,69,44.5,89.0,4,0.00390625,True,0.9857142857142858,False
n10_d50_s42,10,0.5,42,0.25,67,53.5,107.0,144,0.140625,True,0.7282608695652174,False
n10_d50_s42,10,0.5,42,0.4,75,53.5,107.0,48,0.046875,True,0.8152173913043478,False
n10_d50_s42,10,0.5,42,0.55,83,53.5,107.0,4,0.00390625,True,0.9021739130434783,False
n10_d75_s17,10,0.75,17,0.25,101,81.0,160.1701316073504,100,0.09765625,True,0.8782608695652174,False
n10_d75_s17,10,0.75,17,0.4,113,81.0,160.1701316073504,6,0.005859375,True,0.9826086956521739,False
n10_d75_s17,10,0.75,17,0.55,125,81.0,160.1701316073504,0,0.0,False,1.0869565217391304,False
n10_d75_s42,10,0.75,42,0.25,106,91.0,150.02546287691598,180,0.17578125,True,0.7910447761194029,False
n10_d75_s42,10,0.75,42,0.4,115,91.0,150.02546287691598,60,0.05859375,True,0.8582089552238806,False
n10_d75_s42,10,0.75,42,0.55,124,91.0,150.02546287691598,10,0.009765625,True,0.9253731343283582,False
n12_d25_s17,12,0.25,17,0.25,55,43.5,87.0,772,0.1884765625,True,0.6790123456790124,False
n12_d25_s17,12,0.25,17,0.4,61,43.5,87.0,300,0.0732421875,True,0.7530864197530864,False
n12_d25_s17,12,0.25,17,0.55,68,43.5,87.0,92,0.0224609375,True,0.8395061728395061,False
n12_d25_s42,12,0.25,42,0.25,41,32.5,65.0,868,0.2119140625,True,0.6612903225806451,False
n12_d25_s42,12,0.25,42,0.4,46,32.5,65.0,390,0.09521484375,True,0.7419354838709677,False
n12_d25_s42,12,0.25,42,0.55,51,32.5,65.0,140,0.0341796875,True,0.8225806451612904,False
n12_d50_s17,12,0.5,17,0.25,100,80.0,160.0,410,0.10009765625,True,0.8403361344537815,False
n12_d50_s17,12,0.5,17,0.4,112,80.0,160.0,44,0.0107421875,True,0.9411764705882353,False
n12_d50_s17,12,0.5,17,0.55,124,80.0,160.0,0,0.0,False,1.0420168067226891,False
n12_d50_s42,12,0.5,42,0.25,98,78.0,156.0,352,0.0859375,True,0.765625,False
n12_d50_s42,12,0.5,42,0.4,110,78.0,156.0,64,0.015625,True,0.859375,False
n12_d50_s42,12,0.5,42,0.55,121,78.0,156.0,10,0.00244140625,True,0.9453125,False
n12_d75_s17,12,0.75,17,0.25,139,120.5,193.05706782323148,570,0.13916015625,True,0.8475609756097561,False
n12_d75_s17,12,0.75,17,0.4,150,120.5,193.05706782323148,132,0.0322265625,True,0.9146341463414634,False
n12_d75_s17,12,0.75,17,0.55,161,120.5,193.05706782323148,8,0.001953125,True,0.9817073170731707,False
n12_d75_s42,12,0.75,42,0.25,148,124.5,214.58047576020033,366,0.08935546875,True,0.8457142857142858,False
n12_d75_s42,12,0.75,42,0.4,161,124.5,214.58047576020033,54,0.01318359375,True,0.92,False
n12_d75_s42,12,0.75,42,0.55,175,124.5,214.58047576020033,2,0.00048828125,True,1.0,False
