tier,instance_id,family,n,n_edges,density_actual,seed,component_count,connected,isolated_vertices,bipartite,cycle_rank,total_edge_weight,Cstar_over_total_weight,M_opt,component_flip_symmetry_lower_bound,rho_opt,evidence_label
primary,n8_d25_s17,random_fixed_density,8,7,0.25,17,1,True,0,True,0,40,1.0,2,2,0.0078125,"exact structural audit; connectivity/bipartiteness are graph properties, C* descriptors are retrospective"
primary,n8_d25_s42,random_fixed_density,8,7,0.25,42,3,False,1,False,2,38,0.8157894736842105,8,8,0.03125,"exact structural audit; connectivity/bipartiteness are graph properties, C* descriptors are retrospective"
primary,n8_d50_s17,random_fixed_density,8,14,0.5,17,1,True,0,False,7,76,0.75,4,2,0.015625,"exact structural audit; connectivity/bipartiteness are graph properties, C* descriptors are retrospective"
primary,n8_d50_s42,random_fixed_density,8,14,0.5,42,2,False,1,False,8,77,0.7792207792207793,4,4,0.015625,"exact structural audit; connectivity/bipartiteness are graph properties, C* descriptors are retrospective"
primary,n8_d75_s17,random_fixed_density,8,21,0.75,17,1,True,0,False,14,119,0.7563025210084033,2,2,0.0078125,"exact structural audit; connectivity/bipartiteness are graph properties, C* descriptors are retrospective"
primary,n8_d75_s42,random_fixed_density,8,21,0.75,42,1,True,0,False,14,123,0.7479674796747967,2,2,0.0078125,"exact structural audit; connectivity/bipartiteness are graph properties, C* descriptors are retrospective"
primary,n10_d25_s17,random_fixed_density,10,11,0.24444444444444444,17,2,False,1,True,3,59,1.0,4,4,0.00390625,"exact structural audit; connectivity/bipartiteness are graph properties, C* descriptors are retrospective"
primary,n10_d25_s42,random_fixed_density,10,11,0.24444444444444444,42,2,False,1,False,3,55,0.9090909090909091,8,4,0.0078125,"exact structural audit; connectivity/bipartiteness are graph properties, C* descriptors are retrospective"
primary,n10_d50_s17,random_fixed_density,10,22,0.4888888888888889,17,1,True,0,False,13,89,0.7865168539325843,4,2,0.00390625,"exact structural audit; connectivity/bipartiteness are graph properties, C* descriptors are retrospective"
primary,n10_d50_s42,random_fixed_density,10,22,0.4888888888888889,42,1,True,0,False,13,107,0.8598130841121495,2,2,0.001953125,"exact structural audit; connectivity/bipartiteness are graph properties, C* descriptors are retrospective"
primary,n10_d75_s17,random_fixed_density,10,34,0.7555555555555555,17,1,True,0,False,25,162,0.7098765432098766,4,2,0.00390625,"exact structural audit; connectivity/bipartiteness are graph properties, C* descriptors are retrospective"
primary,n10_d75_s42,random_fixed_density,10,34,0.7555555555555555,42,1,True,0,False,25,182,0.7362637362637363,2,2,0.001953125,"exact structural audit; connectivity/bipartiteness are graph properties, C* descriptors are retrospective"
primary,n12_d25_s17,random_fixed_density,12,16,0.24242424242424243,17,2,False,1,False,6,87,0.9310344827586207,4,4,0.0009765625,"exact structural audit; connectivity/bipartiteness are graph properties, C* descriptors are retrospective"
primary,n12_d25_s42,random_fixed_density,12,16,0.24242424242424243,42,1,True,0,False,5,65,0.9538461538461539,2,2,0.00048828125,"exact structural audit; connectivity/bipartiteness are graph properties, C* descriptors are retrospective"
primary,n12_d50_s17,random_fixed_density,12,33,0.5,17,1,True,0,False,22,160,0.74375,2,2,0.00048828125,"exact structural audit; connectivity/bipartiteness are graph properties, C* descriptors are retrospective"
primary,n12_d50_s42,random_fixed_density,12,33,0.5,42,1,True,0,False,22,156,0.8205128205128205,2,2,0.00048828125,"exact structural audit; connectivity/bipartiteness are graph properties, C* descriptors are retrospective"
primary,n12_d75_s17,random_fixed_density,12,50,0.7575757575757576,17,1,True,0,False,39,241,0.6804979253112033,2,2,0.00048828125,"exact structural audit; connectivity/bipartiteness are graph properties, C* descriptors are retrospective"
primary,n12_d75_s42,random_fixed_density,12,50,0.7575757575757576,42,1,True,0,False,39,249,0.7028112449799196,2,2,0.00048828125,"exact structural audit; connectivity/bipartiteness are graph properties, C* descriptors are retrospective"
