instance_id,p,runs,converged,approx_ratio_median,approx_ratio_q1,approx_ratio_q3,p_opt_exact_median,p_opt_exact_q1,p_opt_exact_q3
n10_d25_s17,1,20,20,0.5249357706439032,0.5,0.5712805533308652,0.0043027652062791345,0.00390625,0.01704835238848063
n10_d25_s17,2,20,20,0.5127764133727624,0.5,0.611538849440848,0.00390625,0.00390625,0.020653077759682316
n10_d25_s17,3,20,20,0.6355918997990846,0.5728796999561989,0.725746385985895,0.023865983097083567,0.003906250000000002,0.0778925940764972
n10_d25_s42,1,20,20,0.6183676693841451,0.55,0.7242677288609577,0.01873840240246711,0.0078125,0.041067443280064064
n10_d25_s42,2,20,20,0.691508186493726,0.55,0.7352781806422793,0.03122562487563149,0.007812500000000019,0.05532378509626812
n10_d25_s42,3,20,20,0.7202285842337235,0.55,0.7733777556935436,0.03848731510810793,0.0078125,0.08841361003386142
n10_d50_s17,1,20,20,0.6594015701400653,0.6357142857142857,0.6842620034784705,0.00390625,0.003300053457768095,0.004601771723651476
n10_d50_s17,2,20,20,0.672013057451735,0.6357142857142857,0.7677834340396533,0.00390625,0.0037956241900084387,0.015917259921717067
n10_d50_s17,3,20,19,0.6864231391202723,0.6816181832227017,0.7976161958421104,0.009540935869196698,0.0039062499999999996,0.04103049830788763
n10_d50_s42,1,20,20,0.5815217391304348,0.5815217391304348,0.6135543044950058,0.001953125,0.0019531249999999998,0.004050240104325931
n10_d50_s42,2,20,20,0.6127263678300294,0.5960623980330861,0.7505963443252952,0.0030859825707891817,0.0018435450844156605,0.044126891695690756
n10_d50_s42,3,20,20,0.6392826168586285,0.6212346247820263,0.752928796713754,0.014838278290968968,0.002306917263093588,0.049447728771969644
n10_d75_s17,1,20,20,0.7195397844511148,0.7043478260869566,0.7291564617611959,0.00390625,0.0011644429914334305,0.004406999395416378
n10_d75_s17,2,20,20,0.7291015380194494,0.7194348643353696,0.7337800565482315,0.00390625,0.0029358847085834776,0.005624508374424034
n10_d75_s17,3,20,20,0.7314208519610121,0.722341586258646,0.7368980313086018,0.00390625,0.0016279654988269002,0.005438425388192472
n10_d75_s42,1,20,20,0.6949509666246281,0.6869878908662359,0.6981698714628,0.001953125,0.0009959798313617534,0.002889100925774408
n10_d75_s42,2,20,20,0.6973381934935182,0.6877496431751579,0.7088961110868665,0.00227523281767069,0.001953124999999984,0.0032016585204343436
n10_d75_s42,3,20,20,0.7045069387649636,0.6791044776119404,0.7128733829316645,0.001953125,0.0011147616551715372,0.002569483630324779
n12_d25_s17,1,20,20,0.5738738863217785,0.5370370370370371,0.6098162977176753,0.0009765625000000002,0.0009494106906322078,0.0032992563696734225
n12_d25_s17,2,20,20,0.5943107947243509,0.5370370370370371,0.6408729821789191,0.002812516059069772,0.0009765625,0.0060799188012747125
n12_d25_s17,3,20,20,0.6330677794860136,0.5676201013833229,0.6584485475655467,0.002152426824607372,0.0009765625,0.012787410339238173
n12_d25_s42,1,20,20,0.5442254083238575,0.5241935483870968,0.5668984734431197,0.00048828125,0.00044472358216692085,0.00048828125
n12_d25_s42,2,20,20,0.5841020142277678,0.5241935483870968,0.6453445142807342,0.00048828125,0.00048828125,0.0037968444980821577
n12_d25_s42,3,20,20,0.5817302449371763,0.5241935483870968,0.6960645841856141,0.0004882812500000003,0.00048828125,0.007113838786591479
