instance_id,p,paired_initializations,instance_median_delta_cobyla_minus_lbfgsb,evidence_label
n10_d25_s17,1,5,0.006331088595009082,instance-level median of paired optimizer deltas under the finite 128-evaluation cap
n10_d25_s17,2,5,-0.044258700676400475,instance-level median of paired optimizer deltas under the finite 128-evaluation cap
n10_d25_s17,3,5,0.04930815636458852,instance-level median of paired optimizer deltas under the finite 128-evaluation cap
n10_d25_s42,1,5,0.09957184728849633,instance-level median of paired optimizer deltas under the finite 128-evaluation cap
n10_d25_s42,2,5,0.07638902324000507,instance-level median of paired optimizer deltas under the finite 128-evaluation cap
n10_d25_s42,3,5,0.03439539072757325,instance-level median of paired optimizer deltas under the finite 128-evaluation cap
n10_d50_s17,1,5,-3.7914560380158946e-11,instance-level median of paired optimizer deltas under the finite 128-evaluation cap
n10_d50_s17,2,5,-0.009323741072854608,instance-level median of paired optimizer deltas under the finite 128-evaluation cap
n10_d50_s17,3,5,0.08930316686421891,instance-level median of paired optimizer deltas under the finite 128-evaluation cap
n10_d50_s42,1,5,0.026975366016149804,instance-level median of paired optimizer deltas under the finite 128-evaluation cap
n10_d50_s42,2,5,0.03232891804385074,instance-level median of paired optimizer deltas under the finite 128-evaluation cap
n10_d50_s42,3,5,0.03509015274026572,instance-level median of paired optimizer deltas under the finite 128-evaluation cap
n10_d75_s17,1,5,0.003570406307045748,instance-level median of paired optimizer deltas under the finite 128-evaluation cap
n10_d75_s17,2,5,-0.0015098369053028193,instance-level median of paired optimizer deltas under the finite 128-evaluation cap
n10_d75_s17,3,5,0.03266986458687704,instance-level median of paired optimizer deltas under the finite 128-evaluation cap
n10_d75_s42,1,5,0.0014257381713708162,instance-level median of paired optimizer deltas under the finite 128-evaluation cap
n10_d75_s42,2,5,-0.0007532709783636404,instance-level median of paired optimizer deltas under the finite 128-evaluation cap
n10_d75_s42,3,5,0.01097547910459662,instance-level median of paired optimizer deltas under the finite 128-evaluation cap
n12_d25_s17,1,5,0.09361661638316432,instance-level median of paired optimizer deltas under the finite 128-evaluation cap
n12_d25_s17,2,5,-3.472719148689407e-06,instance-level median of paired optimizer deltas under the finite 128-evaluation cap
n12_d25_s17,3,5,0.018537342413618152,instance-level median of paired optimizer deltas under the finite 128-evaluation cap
n12_d25_s42,1,5,0.06496842124404867,instance-level median of paired optimizer deltas under the finite 128-evaluation cap
n12_d25_s42,2,5,-0.0029535950088985796,instance-level median of paired optimizer deltas under the finite 128-evaluation cap
n12_d25_s42,3,5,0.09835187656340316,instance-level median of paired optimizer deltas under the finite 128-evaluation cap
n12_d50_s17,1,5,0.0016432660310511382,instance-level median of paired optimizer deltas under the finite 128-evaluation cap
n12_d50_s17,2,5,0.0004259047433532448,instance-level median of paired optimizer deltas under the finite 128-evaluation cap
n12_d50_s17,3,5,0.02049734627790023,instance-level median of paired optimizer deltas under the finite 128-evaluation cap
n12_d50_s42,1,5,-3.572787738326255e-06,instance-level median of paired optimizer deltas under the finite 128-evaluation cap
n12_d50_s42,2,5,-0.00014596003593514428,instance-level median of paired optimizer deltas under the finite 128-evaluation cap
n12_d50_s42,3,5,0.043117099148098914,instance-level median of paired optimizer deltas under the finite 128-evaluation cap
n12_d75_s17,1,5,0.0059916049972524865,instance-level median of paired optimizer deltas under the finite 128-evaluation cap
n12_d75_s17,2,5,-0.00041176348853400047,instance-level median of paired optimizer deltas under the finite 128-evaluation cap
n12_d75_s17,3,5,0.00017818454423079721,instance-level median of paired optimizer deltas under the finite 128-evaluation cap
n12_d75_s42,1,5,0.0038621424916777114,instance-level median of paired optimizer deltas under the finite 128-evaluation cap
n12_d75_s42,2,5,0.0026969448535218987,instance-level median of paired optimizer deltas under the finite 128-evaluation cap
