scope,eps_per_logical_depth_model,toffoli_weight_alpha,fixed_overhead_ratio_to_canonical_alpha6_oracle,feasible_threshold_conditions,nonzero_k_fraction,median_k_star,median_break_even_ratio_to_canonical_alpha6_oracle,evidence_label
connected_validation,0.0,1.0,0.0,126,0.0,0.0,0.047118701594305916,descriptive scalarization robustness summary; alpha changes bookkeeping only
connected_validation,0.0,1.0,0.1,126,0.9047619047619048,2.0,0.047118701594305916,descriptive scalarization robustness summary; alpha changes bookkeeping only
connected_validation,0.0,1.0,0.25,126,1.0,2.0,0.047118701594305916,descriptive scalarization robustness summary; alpha changes bookkeeping only
connected_validation,0.0,1.0,0.5,126,1.0,3.0,0.047118701594305916,descriptive scalarization robustness summary; alpha changes bookkeeping only
connected_validation,0.0,4.0,0.0,126,0.0,0.0,0.09137177651816336,descriptive scalarization robustness summary; alpha changes bookkeeping only
connected_validation,0.0,4.0,0.1,126,0.5317460317460317,2.0,0.09137177651816336,descriptive scalarization robustness summary; alpha changes bookkeeping only
connected_validation,0.0,4.0,0.25,126,0.9761904761904762,2.0,0.09137177651816336,descriptive scalarization robustness summary; alpha changes bookkeeping only
connected_validation,0.0,4.0,0.5,126,1.0,2.0,0.09137177651816336,descriptive scalarization robustness summary; alpha changes bookkeeping only
connected_validation,0.0,6.0,0.0,126,0.0,0.0,0.12087382646740166,descriptive scalarization robustness summary; alpha changes bookkeeping only
connected_validation,0.0,6.0,0.1,126,0.38095238095238093,0.0,0.12087382646740166,descriptive scalarization robustness summary; alpha changes bookkeeping only
connected_validation,0.0,6.0,0.25,126,0.9047619047619048,2.0,0.12087382646740166,descriptive scalarization robustness summary; alpha changes bookkeeping only
connected_validation,0.0,6.0,0.5,126,1.0,2.0,0.12087382646740166,descriptive scalarization robustness summary; alpha changes bookkeeping only
connected_validation,0.0,10.0,0.0,126,0.0,0.0,0.1798779263658783,descriptive scalarization robustness summary; alpha changes bookkeeping only
connected_validation,0.0,10.0,0.1,126,0.2619047619047619,0.0,0.1798779263658783,descriptive scalarization robustness summary; alpha changes bookkeeping only
connected_validation,0.0,10.0,0.25,126,0.6666666666666666,2.0,0.1798779263658783,descriptive scalarization robustness summary; alpha changes bookkeeping only
connected_validation,0.0,10.0,0.5,126,0.9761904761904762,2.0,0.1798779263658783,descriptive scalarization robustness summary; alpha changes bookkeeping only
connected_validation,0.0001,1.0,0.0,126,0.0,0.0,0.06493225944428024,descriptive scalarization robustness summary; alpha changes bookkeeping only
connected_validation,0.0001,1.0,0.1,126,0.8571428571428571,2.0,0.06493225944428024,descriptive scalarization robustness summary; alpha changes bookkeeping only
connected_validation,0.0001,1.0,0.25,126,1.0,2.0,0.06493225944428024,descriptive scalarization robustness summary; alpha changes bookkeeping only
connected_validation,0.0001,1.0,0.5,126,1.0,2.0,0.06493225944428024,descriptive scalarization robustness summary; alpha changes bookkeeping only
connected_validation,0.0001,4.0,0.0,126,0.0,0.0,0.12562927814506109,descriptive scalarization robustness summary; alpha changes bookkeeping only
connected_validation,0.0001,4.0,0.1,126,0.3333333333333333,0.0,0.12562927814506109,descriptive scalarization robustness summary; alpha changes bookkeeping only
connected_validation,0.0001,4.0,0.25,126,0.9603174603174603,2.0,0.12562927814506109,descriptive scalarization robustness summary; alpha changes bookkeeping only
connected_validation,0.0001,4.0,0.5,126,1.0,2.0,0.12562927814506109,descriptive scalarization robustness summary; alpha changes bookkeeping only
connected_validation,0.0001,6.0,0.0,126,0.0,0.0,0.166093957278915,descriptive scalarization robustness summary; alpha changes bookkeeping only
connected_validation,0.0001,6.0,0.1,126,0.09523809523809523,0.0,0.166093957278915,descriptive scalarization robustness summary; alpha changes bookkeeping only
connected_validation,0.0001,6.0,0.25,126,0.8412698412698413,2.0,0.166093957278915,descriptive scalarization robustness summary; alpha changes bookkeeping only
connected_validation,0.0001,6.0,0.5,126,1.0,2.0,0.166093957278915,descriptive scalarization robustness summary; alpha changes bookkeeping only
connected_validation,0.0001,10.0,0.0,126,0.0,0.0,0.24702331554662277,descriptive scalarization robustness summary; alpha changes bookkeeping only
connected_validation,0.0001,10.0,0.1,126,0.007936507936507936,0.0,0.24702331554662277,descriptive scalarization robustness summary; alpha changes bookkeeping only
